date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:43:38	20199/20199	---M-Z	200	added ('OK')	text/html	etag:%221525409918-gzip%22	https://sphereidentity.com/hi/node/7	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/hi/node/7.html	(from https://sphereidentity.com/hi)
08:43:38	14842/14842	---M-Z	200	added ('OK')	text/html	etag:%221525409897-gzip%22	https://sphereidentity.com/hi/node/6	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/hi/node/6.html	(from https://sphereidentity.com/hi)
08:43:38	27179/27179	---M-Z	200	added ('OK')	text/css	etag:%221509-56332ce2ef9f8%22	https://sphereidentity.com/sites/default/files/css/css_8pbd8d34jT9EsZnr3ZiJhkZvFwLR49tYw5YVHvitjEI.css?p82rqt	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/css/css_8pbd8d34jT9EsZnr3ZiJhkZvFwLR49tYw5YVHvitjEI2a15.css	(from https://sphereidentity.com/form/homepage-form)
08:43:39	18065/18065	---M-Z	200	added ('OK')	text/html	etag:%221525439558-gzip%22	https://sphereidentity.com/ar/form/homepage-form	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ar/form/homepage-form.html	(from https://sphereidentity.com/form/homepage-form)
08:43:39	18065/18065	---M-Z	200	added ('OK')	text/html	etag:%221525382419-gzip%22	https://sphereidentity.com/ru/form/homepage-form	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ru/form/homepage-form.html	(from https://sphereidentity.com/form/homepage-form)
08:43:40	18140/18140	---M-Z	200	added ('OK')	text/html	etag:%221525438527-gzip%22	https://sphereidentity.com/zh-hans/form/homepage-form	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/zh-hans/form/homepage-form.html	(from https://sphereidentity.com/form/homepage-form)
08:43:41	18064/18064	---M-Z	200	added ('OK')	text/html	etag:%221525409819-gzip%22	https://sphereidentity.com/ur/form/homepage-form	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ur/form/homepage-form.html	(from https://sphereidentity.com/form/homepage-form)
08:43:41	18065/18065	---M-Z	200	added ('OK')	text/html	etag:%221525473659-gzip%22	https://sphereidentity.com/ml/form/homepage-form	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ml/form/homepage-form.html	(from https://sphereidentity.com/form/homepage-form)
08:43:42	18065/18065	---M-Z	200	added ('OK')	text/html	etag:%221525314201-gzip%22	https://sphereidentity.com/hi/form/homepage-form	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/hi/form/homepage-form.html	(from https://sphereidentity.com/form/homepage-form)
08:43:45	17791/17791	---MC-	404	error ('Not%20Found')	text/html	etag:%221525610623%22	https://sphereidentity.com/form/form/homepage-form	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/form/form/homepage-form	(from https://sphereidentity.com/form/homepage-form)
08:43:46	17878/17878	---M-Z	200	added ('OK')	text/html	etag:%221525448290-gzip%22	https://sphereidentity.com/user/login	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/user/login.html	(from https://sphereidentity.com/form/homepage-form)
08:43:47	26735/26735	---M-Z	200	added ('OK')	text/css	etag:%22148e-56332c99a4726%22	https://sphereidentity.com/sites/default/files/css/css_o9fFKBgkDBS1OPLIHSm8NcBDQv1Ei58GiVAiMP3BqnY.css?p82rqt	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/css/css_o9fFKBgkDBS1OPLIHSm8NcBDQv1Ei58GiVAiMP3BqnY2a15.css	(from https://sphereidentity.com/node/7)
08:43:47	274759/274759	---M-Z	200	added ('OK')	text/javascript	etag:%221307a-5639f227bd73f%22	https://sphereidentity.com/sites/default/files/js/js_eF2FiXe6f5M8y8mIsNARDCWKkVfT3DgP3yNf9XmtRPg.js	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/sites/default/files/js/js_eF2FiXe6f5M8y8mIsNARDCWKkVfT3DgP3yNf9XmtRPg.js	(from https://sphereidentity.com/form/homepage-form)
